ekatte_code,settlement_name_bg,settlement_name_en,settlement_type,oblast_code,oblast_name_bg,obshtina_name_bg,nuts3_code
15312,Годешево,Godeshevo,село,BLG,Благоевград,Сатовча,BG413
15326,Годлево,Godlevo,село,BLG,Благоевград,Разлог,BG413
15331,Гоз,Goz,село,PER,Перник,Брезник,BG414
15343,Гоздевица,Gozdevitsa,село,SML,Смолян,Смолян,BG424
15357,Гоздейка,Gozdeyka,село,GAB,Габрово,Дряново,BG322
15374,Голак,Golak,село,SFO,София,Костенец,BG412
15391,Големани,Golemani,село,VTR,Велико Търново,Елена,BG321
15401,Големаните,Golemanite,село,VTR,Велико Търново,Велико Търново,BG321
15415,Големаново,Golemanovo,село,VID,Видин,Кула,BG311
15429,Големанци,Golemantsi,село,HKV,Хасково,Хасково,BG422
15432,Голема Раковица,Golema Rakovitsa,село,SFO,София,Елин Пелин,BG412
15446,Голема Фуча,Golema Fucha,село,KNL,Кюстендил,Бобов дол,BG415
15457,Голям Върбовник,Golyam Varbovnik,село,KNL,Кюстендил,Бобов дол,BG415
15463,Големи Българени,Golemi Balgareni,село,GAB,Габрово,Дряново,BG322
15480,Големи Станчовци,Golemi Stanchovtsi,село,GAB,Габрово,Трявна,BG322
15494,Големо Бабино,Golemo Babino,село,VRC,Враца,Криводол,BG313
15504,Големо Бучино,Golemo Buchino,село,PER,Перник,Перник,BG414
15518,Големо Малово,Golemo Malovo,село,SFO,София,Драгоман,BG412
15521,Голямо Пещене,Golyamo Peshtene,село,VRC,Враца,Враца,BG313
15535,Големо село,Golemo selo,село,KNL,Кюстендил,Бобов дол,BG415
15549,Голем Цалим,Golem Tsalim,село,BLG,Благоевград,Сандански,BG413
15552,Голец,Golets,село,LOV,Ловеч,Угърчин,BG315
15566,Голеш,Golesh,село,SLS,Силистра,Кайнарджа,BG325
15572,Голеш,Golesh,село,SFO,София,Годеч,BG412
15583,Голешово,Goleshovo,село,BLG,Благоевград,Сандански,BG413
15597,Голица,Golitsa,село,VAR,Варна,Долни чифлик,BG331
15607,Голобрад,Golobrad,село,KRZ,Кърджали,Ардино,BG425
15610,Голобрадово,Golobradovo,село,HKV,Хасково,Стамболово,BG422
15638,Гълъбово,Galabovo,село,BLG,Благоевград,Белица,BG413
15641,Голяма бара,Golyama bara,село,KRZ,Кърджали,Кърджали,BG425
15655,Голяма Брестница,Golyama Brestnitsa,село,LOV,Ловеч,Ябланица,BG315
15669,Голяма вода,Golyama voda,село,RAZ,Разград,Самуил,BG324
15698,Голяма долина,Golyama dolina,село,HKV,Хасково,Маджарово,BG422
15703,Голяма Желязна,Golyama Zhelyazna,село,LOV,Ловеч,Троян,BG315
15713,Голяма Чинка,Golyama Chinka,село,KRZ,Кърджали,Крумовград,BG425
15727,Голям Девесил,Golyam Devesil,село,KRZ,Кърджали,Крумовград,BG425
15730,Голям Дервент,Golyam Dervent,село,JAM,Ямбол,Елхово,BG343
15744,Голям дол,Golyam dol,село,SZR,Стара Загора,Братя Даскалови,BG344
15758,Голям извор,Golyam izvor,село,LOV,Ловеч,Тетевен,BG315
15761,Голям извор,Golyam izvor,село,RAZ,Разград,Самуил,BG324
15775,Голям извор,Golyam izvor,село,HKV,Хасково,Стамболово,BG422
15789,Голям манастир,Golyam manastir,село,JAM,Ямбол,Тунджа,BG343
15792,Голямо Асеново,Golyamo Asenovo,село,HKV,Хасково,Димитровград,BG422
15802,Голямо Белово,Golyamo Belovo,село,PAZ,Пазарджик,Белово,BG423
15816,Голямо Буково,Golyamo Bukovo,село,BGS,Бургас,Средец,BG341
15829,Голямо Враново,Golyamo Vranovo,село,RSE,Русе,Сливо поле,BG323
15833,Голямо градище,Golyamo gradishte,село,TGV,Търговище,Опака,BG334
15850,Голямо Доляне,Golyamo Dolyane,село,TGV,Търговище,Антоново,BG334
15864,Голямо Дряново,Golyamo Dryanovo,село,SZR,Стара Загора,Казанлък,BG344
15878,Голямо Каменяне,Golyamo Kamenyane,село,KRZ,Кърджали,Крумовград,BG425
